prefixo,nome,transmissao,valor_leitura_plu,valor,intervalo
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,1.6,0.111,2019-02-03 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,72.4,14.975,2019-02-04 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.2,0.54,2019-02-05 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,35.6,15.136,2019-02-06 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,10.685,2019-02-07 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-02-08 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.2,0.01,2019-02-09 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.6,0.085,2019-02-11 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,19.0,3.133,2019-02-12 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,8.6,7.651,2019-02-13 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.544,2019-02-14 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,41.8,6.256,2019-02-15 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,25.2,21.881,2019-02-16 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.2,7.556,2019-02-17 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,39.2,6.84,2019-02-20 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,24.4,20.29,2019-02-21 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,6.4,6.593,2019-02-22 00:00:00 UTC
